#OTU_ID	LL1	LL2	LL3	LR1	LR2	LR3	AL1	AL2	AL3	AR1	AR2	AR3	taxonomy
Mycobacteriaceae	1	0	1	0	0	0	0	0	1	2	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Corynebacteriales; f__Mycobacteriaceae
Geodermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Geodermatophilales; f__Geodermatophilaceae
Dermabacteraceae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Dermabacteraceae
Dermatophilaceae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Dermatophilaceae
Intrasporangiaceae	0	2	2	0	0	0	0	0	0	1	1	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Intrasporangiaceae
Microbacteriaceae	1	9	1	4	0	0	0	0	2	6	1	6	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Microbacteriaceae
Micrococcaceae	7	27	6	5	1	1	2	2	7	87	37	202	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micrococcales; f__Micrococcaceae
Micromonosporaceae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Micromonosporales; f__Micromonosporaceae
Nocardioidaceae	0	0	0	0	0	0	0	0	1	1	0	1	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Nocardioidaceae
Propionibacteriaceae	15	42	22	10	0	2	26	177	200	37	38	748	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Propionibacteriales; f__Propionibacteriaceae
Streptomycetaceae	0	0	0	0	0	1	0	0	0	0	0	0	d__Bacteria; p__Actinobacteria; c__Actinomycetia; o__Streptomycetales; f__Streptomycetaceae
Dysgonomonadaceae	0	0	0	3	0	0	0	0	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Dysgonomonadaceae
Odoribacteraceae	0	0	0	0	0	0	0	1	0	0	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Odoribacteraceae
Prevotellaceae	0	0	0	0	0	0	0	1	1	3	4	3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae
Chitinophagaceae	2	19	21	6	19	12	8	4	2	5	2	9	d__Bacteria; p__Bacteroidota; c__Chitinophagia; o__Chitinophagales; f__Chitinophagaceae
Cytophagaceae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Bacteroidota; c__Cytophagia; o__Cytophagales; f__Cytophagaceae
Hymenobacteraceae	0	0	0	0	0	0	0	0	0	0	0	1	d__Bacteria; p__Bacteroidota; c__Cytophagia; o__Cytophagales; f__Hymenobacteraceae
Flavobacteriaceae	0	1	1	0	0	1	1	0	2	21	4	4	d__Bacteria; p__Bacteroidota; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae
Weeksellaceae	10	9	0	6	2	3	12	13	39	126	33	21	d__Bacteria; p__Bacteroidota; c__Flavobacteriia; o__Flavobacteriales; f__Weeksellaceae
Sphingobacteriaceae	0	0	4	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Bacteroidota; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae
Nostocaceae	0	0	0	0	0	9	3	0	1	1	1	0	d__Bacteria; p__Cyanobacteria; c__unknown; o__Nostocales; f__Nostocaceae
Alicyclobacillaceae	0	0	0	0	0	0	1	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae
Bacillaceae	0	6	51	2	1	2	3	3	2	4	9	10	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae
Paenibacillaceae	0	1	0	0	0	0	1	0	0	1	1	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae
Planococcaceae	3	5	6	4	5	0	2	0	1	1	1	15	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
Staphylococcaceae	25	20	20	50	58	11	7	50	37	17	12	43	d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae
Aerococcaceae	0	9	6	1	26	3	0	2	8	17	28	3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae
Carnobacteriaceae	0	2	0	0	0	0	1	6	10	0	2	14	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Carnobacteriaceae
Enterococcaceae	0	0	1	1	0	0	1	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
Lactobacillaceae	1	3	5	6	4	4	1	0	5	3	5	3	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
Streptococcaceae	8	7	1	1	0	0	18	30	30	30	31	22	d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
Clostridiaceae	0	2	5	0	5	0	2	4	1	1	2	1	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Clostridiaceae
Lachnospiraceae	3	5	12	3	5	0	12	12	14	41	42	6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Lachnospiraceae
Oscillospiraceae	0	0	0	0	0	1	0	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Oscillospiraceae
Peptostreptococcaceae	4	9	38	4	8	2	26	23	17	52	49	6	d__Bacteria; p__Firmicutes; c__Clostridia; o__Eubacteriales; f__Peptostreptococcaceae
Erysipelotrichaceae	0	0	1	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Firmicutes; c__Erysipelotrichia; o__Erysipelotrichales; f__Erysipelotrichaceae
Selenomonadaceae	0	0	0	0	0	0	1	2	0	2	0	0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae
Veillonellaceae	0	2	0	0	0	0	2	0	4	0	0	0	d__Bacteria; p__Firmicutes; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
Peptoniphilaceae	4	12	14	6	10	9	3	5	8	13	7	8	d__Bacteria; p__Firmicutes; c__Tissierellia; o__Tissierellales; f__Peptoniphilaceae
Fusobacteriaceae	0	0	1	1	0	0	0	0	2	8	1	0	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae
Leptotrichiaceae	0	0	0	0	0	0	3	0	4	11	2	0	d__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Leptotrichiaceae
Gemmatimonadaceae	0	0	0	0	0	1	0	0	0	0	0	0	d__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae
Gemmataceae	1	0	0	0	0	0	1	0	0	0	1	0	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales; f__Gemmataceae
Isosphaeraceae	0	4	1	0	1	0	1	1	1	1	0	0	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales; f__Isosphaeraceae
Planctomycetaceae	1	1	2	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae
Caulobacteraceae	2	30	8	10	6	5	3	2	4	4	3	5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
Beijerinckiaceae	0	3	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Beijerinckiaceae
Brucellaceae	1	0	1	1	0	1	0	0	0	0	3	1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Brucellaceae
Hyphomicrobiaceae	0	0	1	1	1	0	2	0	0	1	0	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Hyphomicrobiaceae
Methylobacteriaceae	2	2	2	6	0	0	3	0	2	4	0	3	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Methylobacteriaceae
Nitrobacteraceae	1	4	5	3	0	0	2	2	1	0	3	2	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Nitrobacteraceae
Phyllobacteriaceae	1	0	2	3	0	0	0	0	0	0	1	0	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Phyllobacteriaceae
Rhizobiaceae	13	42	70	78	63	15	98	26	29	76	108	106	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Hyphomicrobiales; f__Rhizobiaceae
Rhodobacteraceae	809	893	1249	1310	888	1530	200	39	77	262	275	489	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
Acetobacteraceae	4	9	16	5	12	37	9	1	1	4	12	14	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae
Rhodospirillaceae	0	1	0	12	2	0	0	0	0	2	1	1	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae
Erythrobacteraceae	2	4	6	19	8	7	1	0	5	6	6	9	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae
Sphingomonadaceae	9	10	16	16	8	7	11	4	7	20	11	18	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
Alcaligenaceae	1	3	0	1	0	3	1	2	1	2	4	7	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae
Burkholderiaceae	7	19	7	6	4	5	19	28	24	150	101	14	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
Comamonadaceae	9	22	42	8	28	13	25	26	20	116	93	51	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
Oxalobacteraceae	9	13	73	42	40	13	29	13	33	51	76	136	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
Neisseriaceae	14	25	16	60	15	20	392	262	166	946	658	119	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae
Methylophilaceae	0	0	0	0	0	1	0	0	0	3	0	1	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Nitrosomonadales; f__Methylophilaceae
Rhodocyclaceae	0	1	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae
Arcobacteraceae	0	0	0	0	0	0	5	8	1	25	21	3	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Arcobacteraceae
Campylobacteraceae	0	0	0	0	0	0	0	0	0	0	1	0	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae
Helicobacteraceae	0	0	0	0	0	0	4	1	1	11	9	0	d__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae
